Alternative,Expression,Segment,Coefficient,Description,,,,,,
sov,Constant,,1.06,Constant,,,,,,
sov,Constant,v0,-99,Auto Availability,,,,,,
sov,Constant,vs,0.926,Vehicle sufficient households,,,,,,
sov,sov_skim.CongTime,,-0.00933,Travel time,,,,,,
sov,sov_skim.[TollCostSOV (Skim)],,-0.03414,Toll cost,,,,,,
sov,sov_skim.[Length (Skim)],,-0.003414,Auto Operating Cost,,,,,,
hov2,Constant,,1.57,Constant,,,,,,
hov2,hov_skim.CongTime,,-0.00933,Travel time,,,,,,
hov2,hov_skim.[TollCostHOV (Skim)],,-0.01707,Toll cost,,,,,,
hov2,hov_skim.[Length (Skim)],,-0.00171,Auto Operating Cost,,,,,,
hov3,Constant,,1.06,Constant,,,,,,
hov3,hov_skim.CongTime,,-0.00933,Travel time,,,,,,
hov3,hov_skim.[TollCostHOV (Skim)],,-0.01035,Toll cost,,,,,,
hov3,hov_skim.[Length (Skim)],,-0.00104,Auto Operating Cost,,,,,,
auto_pay,hov_skim.CongTime,,-0.0294,Travel time,,,,,,
auto_pay,hov_skim.auto_pay_fare,,-0.1076,Auto fare,,,,,,
auto_pay,Constant,vs,-99,Unavailable,,,,,,
w_lb,Constant,,-0.127,Constant,,,,,,
w_lb,Constant,v0,3.45,Zero-vehicle households,,,,,,
w_lb,w_lb_skim.[In-Vehicle Time],,-0.00933,IVTT,,,,,,
w_lb,w_lb_skim.Fare,,-0.0471,Transit fare,,,,,,
w_lb,w_lb_skim.[Access Walk Time],,-0.02333,Access walk time,,,,,,
w_lb,w_lb_skim.[Egress Walk Time],,-0.02333,Egress walk time,,,,,,
w_lb,w_lb_skim.[Transfer Walk Time],,-0.02333,Transfer walk time,,,,,,
w_lb,w_lb_skim.[Initial Wait Time],,-0.01866,Initial wait time,,,,,,
w_lb,w_lb_skim.[Transfer Wait Time],,-0.01866,Transfer wait time,,,,,,
w_lb,w_lb_skim.[Dwelling Time],,-0.00933,Dwell Time,,,,,,
w_eb,Constant,,-0.127,Constant,,,,,,
w_eb,Constant,v0,3.45,Zero-vehicle households,,,,,,
w_eb,w_eb_skim.[In-Vehicle Time],,-0.00933,IVTT,,,,,,
w_eb,w_eb_skim.Fare,,-0.0471,Transit fare,,,,,,
w_eb,w_eb_skim.[Access Walk Time],,-0.02333,Access walk time,,,,,,
w_eb,w_eb_skim.[Egress Walk Time],,-0.02333,Egress walk time,,,,,,
w_eb,w_eb_skim.[Transfer Walk Time],,-0.02333,Transfer walk time,,,,,,
w_eb,w_eb_skim.[Initial Wait Time],,-0.01866,Initial wait time,,,,,,
w_eb,w_eb_skim.[Transfer Wait Time],,-0.01866,Transfer wait time,,,,,,
w_eb,w_eb_skim.[Dwelling Time],,-0.00933,Dwell Time,,,,,,
knr_lb,Constant,,-0.127,Constant,,,,,,
knr_lb,Constant,v0,3.45,Zero-vehicle households,,,,,,
knr_lb,knr_lb_skim.[In-Vehicle Time],,-0.00933,IVTT,,,,,,
knr_lb,knr_lb_skim.Fare,,-0.0471,Transit fare,,,,,,
knr_lb,knr_lb_skim.[Access Drive Time],,-0.00933,Access drive time,,,,,,
knr_lb,knr_lb_skim.[Egress Walk Time],,-0.02333,Egress walk time,,,,,,
knr_lb,knr_lb_skim.[Transfer Walk Time],,-0.02333,Transfer walk time,,,,,,
knr_lb,knr_lb_skim.[Initial Wait Time],,-0.01866,Initial wait time,,,,,,
knr_lb,knr_lb_skim.[Transfer Wait Time],,-0.01866,Transfer wait time,,,,,,
knr_lb,knr_lb_skim.[Dwelling Time],,-0.00933,Dwell Time,,,,,,
knr_eb,Constant,,-0.127,Constant,,,,,,
knr_eb,Constant,v0,3.45,Zero-vehicle households,,,,,,
knr_eb,knr_eb_skim.[In-Vehicle Time],,-0.00933,IVTT,,,,,,
knr_eb,knr_eb_skim.Fare,,-0.0471,Transit fare,,,,,,
knr_eb,knr_eb_skim.[Access Drive Time],,-0.00933,Access drive time,,,,,,
knr_eb,knr_eb_skim.[Egress Walk Time],,-0.02333,Egress walk time,,,,,,
knr_eb,knr_eb_skim.[Transfer Walk Time],,-0.02333,Transfer walk time,,,,,,
knr_eb,knr_eb_skim.[Initial Wait Time],,-0.01866,Initial wait time,,,,,,
knr_eb,knr_eb_skim.[Transfer Wait Time],,-0.01866,Transfer wait time,,,,,,
knr_eb,knr_eb_skim.[Dwelling Time],,-0.00933,Dwell Time,,,,,,
pnr_lb,Constant,,-0.127,Constant,,,,,,
pnr_lb,Constant,v0,-99,Auto Availability,,,,,,
pnr_lb,pnr_lb_skim.[In-Vehicle Time],,-0.00933,IVTT,,,,,,
pnr_lb,pnr_lb_skim.Fare,,-0.0471,Transit fare,,,,,,
pnr_lb,pnr_lb_skim.[Access Drive Time],,-0.00933,Access drive time,,,,,,
pnr_lb,pnr_lb_skim.[Egress Walk Time],,-0.02333,Egress walk time,,,,,,
pnr_lb,pnr_lb_skim.[Transfer Walk Time],,-0.02333,Transfer walk time,,,,,,
pnr_lb,pnr_lb_skim.[Initial Wait Time],,-0.01866,Initial wait time,,,,,,
pnr_lb,pnr_lb_skim.[Transfer Wait Time],,-0.01866,Transfer wait time,,,,,,
pnr_lb,pnr_lb_skim.[Dwelling Time],,-0.00933,Dwell Time,,,,,,
pnr_eb,Constant,,-0.127,Constant,,,,,,
pnr_eb,Constant,v0,-99,Auto Availability,,,,,,
pnr_eb,pnr_eb_skim.[In-Vehicle Time],,-0.00933,IVTT,,,,,,
pnr_eb,pnr_eb_skim.Fare,,-0.0471,Transit fare,,,,,,
pnr_eb,pnr_eb_skim.[Access Drive Time],,-0.00933,Access drive time,,,,,,
pnr_eb,pnr_eb_skim.[Egress Walk Time],,-0.02333,Egress walk time,,,,,,
pnr_eb,pnr_eb_skim.[Transfer Walk Time],,-0.02333,Transfer walk time,,,,,,
pnr_eb,pnr_eb_skim.[Initial Wait Time],,-0.01866,Initial wait time,,,,,,
pnr_eb,pnr_eb_skim.[Transfer Wait Time],,-0.01866,Transfer wait time,,,,,,
pnr_eb,pnr_eb_skim.[Dwelling Time],,-0.00933,Dwell Time,,,,,,
hov2,Constant,v0,0.086122,Additional Calibration Constant,,,,0.084689,0.129411,0.132132
hov3,Constant,v0,0.554981,Additional Calibration Constant,,,,0.083656,0.130173,0.133487
walk,Constant,v0,-0.634842,Additional Calibration Constant,,,,-0.114779,-0.200619,-0.291271
pnr,Constant,v0,-0.634842,Additional Calibration Constant,,,,-0.114779,-0.200619,-0.291271
knr,Constant,v0,-0.634842,Additional Calibration Constant,,,,-0.114779,-0.200619,-0.291271
auto_pay,Constant,v0,2.723187,Additional Calibration Constant,,,,0.125929,0.140746,0.135703
sov,Constant,vi,-0.285512,Additional Calibration Constant,,,,0.006591,0.00029,
hov2,Constant,vi,0.180133,Additional Calibration Constant,,,,0.007237,0.001526,
hov3,Constant,vi,0.18503,Additional Calibration Constant,,,,0.005904,0.000296,
walk,Constant,vi,-2.114479,Additional Calibration Constant,,,,-0.849132,-0.18384,
pnr,Constant,vi,-2.114479,Additional Calibration Constant,,,,-0.849132,-0.18384,
knr,Constant,vi,-2.114479,Additional Calibration Constant,,,,-0.849132,-0.18384,
auto_pay,Constant,vi,-0.88061,Additional Calibration Constant,,,,0.02564,0.000223,
sov,Constant,vs,-0.002084,Additional Calibration Constant,,,,0.00403,0.00162,
hov2,Constant,vs,0.129583,Additional Calibration Constant,,,,0.002614,0.000245,
hov3,Constant,vs,0.069719,Additional Calibration Constant,,,,0.004873,0.000248,
walk,Constant,vs,-2.310649,Additional Calibration Constant,,,,-0.703071,-0.280406,
pnr,Constant,vs,-2.310649,Additional Calibration Constant,,,,-0.703071,-0.280406,
knr,Constant,vs,-2.310649,Additional Calibration Constant,,,,-0.703071,-0.280406,
